country	continent	intercept	slope	sd
Australia	Oceania	68.4005128205128	0.227723776223776	0.350140922335247
New Zealand	Oceania	68.6869230769231	0.192820979020979	0.58815849332486
Albania	Europe	59.2291282051282	0.334683216783216	3.57503001451572
Austria	Europe	66.4484615384616	0.241992307692307	0.1508930944056
Belgium	Europe	67.8919230769231	0.209084615384615	0.0779926048951065
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755244	4.62957940962067
Bulgaria	Europe	65.7373076923078	0.14568881118881	5.72333273204056
Croatia	Europe	63.8557820512821	0.22545944055944	1.19716675323157
Czech Republic	Europe	67.528076923077	0.144815384615384	0.619488741258732
Denmark	Europe	71.0335897435898	0.12133006993007	0.144574471286287
Finland	Europe	66.4489743589744	0.237925174825174	0.114063172812037
France	Europe	67.7901282051282	0.238501398601399	0.0440187417885157
Germany	Europe	67.5681282051282	0.213683216783216	0.157383832697604
Greece	Europe	67.0672051282051	0.242398601398601	0.550883423606684
Hungary	Europe	65.9928205128205	0.123648951048951	1.28115300911209
Iceland	Europe	71.9635897435898	0.165375524475524	0.271816434096218
Ireland	Europe	67.5414615384615	0.19911958041958	0.207585920851874
Italy	Europe	66.5967948717949	0.269710489510489	0.157883638482724
Montenegro	Europe	62.2416282051282	0.293001398601398	6.89417205997031
Netherlands	Europe	71.8896153846154	0.136686713286713	0.109942828989195
Norway	Europe	72.2146153846154	0.131941258741258	0.21798687857597
Poland	Europe	64.7808974358975	0.196218881118881	2.38942396747188
Portugal	Europe	61.1467948717949	0.337201398601398	1.18084396906123
Romania	Europe	63.9621282051282	0.157401398601398	1.94343396906123
Serbia	Europe	61.5343461538462	0.255151048951048	2.91788867577872
Slovak Republic	Europe	67.0098717948718	0.134044055944055	1.53596072525954
Slovenia	Europe	66.0863461538462	0.200523776223776	0.459350679910999
Spain	Europe	66.4778205128206	0.280930769230768	0.933203980186446
Sweden	Europe	71.605	0.166254545454545	0.0407687603305833
Switzerland	Europe	69.453717948718	0.222231468531468	0.0419881251324438
Turkey	Europe	46.0223205128205	0.49723986013986	1.19614593059969
United Kingdom	Europe	68.8085256410257	0.185965734265734	0.177698610828568
Argentina	Americas	62.6884358974359	0.231708391608391	0.0776759013562184
Bolivia	Americas	38.7564487179487	0.499932167832167	1.27537240612419
Brazil	Americas	51.5120384615385	0.39008951048951	0.0967543960584845
Canada	Americas	68.8838461538462	0.21886923076923	0.0564770104895091
Chile	Americas	54.3177051282052	0.476844055944055	1.29352217980505
Colombia	Americas	53.4271153846154	0.38075034965035	1.56390213064208
Costa Rica	Americas	59.1047051282051	0.40278951048951	2.0971833203009
Cuba	Americas	62.2134487179487	0.321150349650349	2.75439510033903
Dominican Republic	Americas	48.5978076923077	0.471152447552447	2.18471281055308
Ecuador	Americas	49.0653717948718	0.500053146853146	0.443997960796771
El Salvador	Americas	46.5119487179487	0.477141258741258	3.43199403009112
Guatemala	Americas	42.1193974358974	0.531273426573426	0.307062694744648
Haiti	Americas	39.2461538461539	0.397058041958042	0.64262456420851
Honduras	Americas	42.9924102564102	0.542851748251748	2.22453273574911
Jamaica	Americas	62.6609871794872	0.221394405594405	3.84264014134349
Mexico	Americas	53.0053717948718	0.451034965034965	0.992907663276113
Nicaragua	Americas	43.0451282051282	0.55651958041958	0.32555289054884
Panama	Americas	58.061	0.354209090909091	2.09216545041319
Paraguay	Americas	62.4818333333334	0.157354545454545	0.139279775482095
Peru	Americas	44.3476410256411	0.527697902097902	1.05527858190294
Puerto Rico	Americas	66.9485256410257	0.210574825174825	1.46331485463018
Trinidad and Tobago	Americas	62.0523076923077	0.173661538461538	2.48095604195802
United States	Americas	68.4138461538462	0.184169230769231	0.157424965034964
Uruguay	Americas	65.7416025641026	0.183272027972027	0.258922033587629
Venezuela	Americas	57.5133205128205	0.329721678321678	1.99612561241788
Algeria	Africa	43.3749743589744	0.56927972027972	1.59122354058063
Angola	Africa	32.1266538461539	0.20933986013986	1.79970427908455
Benin	Africa	39.5885128205128	0.334232867132867	1.25445355043441
Botswana	Africa	52.9291153846154	0.0606685314685308	33.9624652008899
Burkina Faso	Africa	34.6846923076923	0.363974825174825	3.80962143038779
Burundi	Africa	40.578641025641	0.154134265734266	2.35873201991947
Cameroon	Africa	41.2494615384616	0.250146853146853	9.56221308200888
Central African Republic	Africa	38.8095128205128	0.183905594405594	11.2930044595253
Chad	Africa	39.8093717948718	0.253244055944055	3.04924599798684
Comoros	Africa	39.996	0.450390909090909	0.208275268595046
Congo, Dem. Rep.	Africa	41.9610769230769	0.0939153846153844	5.36583260489508
Congo, Rep.	Africa	47.1367820512821	0.195095804195804	11.4342403730663
Cote d'Ivoire	Africa	44.845858974359	0.130556643356643	14.0093274496715
Djibouti	Africa	36.2771538461539	0.367403496503496	1.15390820057215
Egypt	Africa	40.968	0.555454545454545	0.981733305785134
Equatorial Guinea	Africa	34.4303076923077	0.310170629370629	0.0982154469167204
Eritrea	Africa	35.6952692307692	0.37469020979021	2.03653101430388
Ethiopia	Africa	36.0281538461539	0.307185314685314	0.997373225365534
Gabon	Africa	38.9353461538461	0.446732867132867	14.9416228080102
Gambia	Africa	28.4003717948718	0.581825874125873	1.19717841121002
Ghana	Africa	43.4927435897436	0.321742657342657	0.54361781012926
Guinea	Africa	31.5569871794872	0.424830769230769	1.30014675291377
Guinea-Bissau	Africa	31.7370384615385	0.271753146853147	0.376431854736172
Kenya	Africa	47.0020384615385	0.206507692307692	17.4576818671328
Lesotho	Africa	47.3790256410257	0.0955657342657339	32.0105153381013
Liberia	Africa	39.8364230769231	0.0959937062937062	2.85721000985378
Libya	Africa	42.1019358974359	0.625535664335664	2.15568007904217
Madagascar	Africa	36.6680641025641	0.403727972027972	0.284739124496715
Malawi	Africa	36.9103717948718	0.234225874125874	3.39735495666455
Mali	Africa	33.0512307692308	0.37680979020979	0.21085551430388
Mauritania	Africa	40.0256025641026	0.446417482517482	0.150984165819033
Mauritius	Africa	55.3707692307692	0.348453846153846	2.75304126223775
Morocco	Africa	42.6908333333334	0.542472727272727	0.520891523415979
Mozambique	Africa	34.2061538461539	0.224485314685315	4.77455536172917
Namibia	Africa	47.1343333333333	0.231163636363636	22.3723274490358
Niger	Africa	35.1506666666667	0.34210909090909	4.33531001101931
Nigeria	Africa	37.8595256410256	0.208065734265734	2.10041429264675
Reunion	Africa	53.9975384615385	0.459880419580419	2.41392937539732
Rwanda	Africa	42.7419487179487	-0.0458314685314688	39.1008168524052
Sao Tome and Principe	Africa	48.5275641025641	0.340682517482517	1.766704665819
Senegal	Africa	36.7466666666667	0.504699999999999	0.790270469696974
Sierra Leone	Africa	30.8832051282051	0.214034965034965	0.617925208730663
Somalia	Africa	34.6753974358974	0.229573426573426	3.155682558381
South Africa	Africa	49.3412820512821	0.16915944055944	20.4626507077771
Sudan	Africa	37.8741923076923	0.382774825174825	0.377124248569612
Swaziland	Africa	46.387858974359	0.0950748251748249	40.1308629909938
Tanzania	Africa	43.1084102564103	0.174688111888112	3.05986035558379
Togo	Africa	40.9774615384615	0.382592307692308	4.94715418531468
Tunisia	Africa	44.5553076923077	0.587843356643356	2.20968784361094
Uganda	Africa	44.275217948718	0.121586013986014	9.23748117885141
Zambia	Africa	47.6580256410256	-0.0604251748251749	18.6447631273575
Zimbabwe	Africa	55.2212435897436	-0.0930209790209794	47.1983922812036
Afghanistan	Asia	29.9072948717949	0.275328671328671	1.35928222525959
Bahrain	Asia	52.7492051282051	0.467507692307692	2.44385820046619
Bangladesh	Asia	36.1354871794872	0.498130769230769	0.867204525641023
